month,year_index,phase,seasonality_factor,cagr_multiplier,jitter_multiplier,transaction_count,gross_market_value_usd,actual_sales_price_usd,take_rate,transaction_fee_revenue_usd
2026-03-01,1,phase_1_user_growth,0.852079,1.0,0.996398,0,0.0,0.0,0.02,0.0
2026-04-01,1,phase_1_user_growth,0.843513,1.0,0.995677,0,0.0,0.0,0.02,0.0
2026-05-01,1,phase_1_user_growth,1.01307,1.0,0.997217,0,0.0,0.0,0.02,0.0
2026-06-01,1,phase_1_user_growth,0.906254,1.0,1.01755,0,0.0,0.0,0.02,0.0
2026-07-01,1,phase_1_user_growth,0.891844,1.0,0.99681,0,0.0,0.0,0.02,0.0
2026-08-01,1,phase_1_user_growth,0.921643,1.0,0.962566,0,0.0,0.0,0.02,0.0
2026-09-01,1,phase_1_user_growth,0.885988,1.0,1.008308,0,0.0,0.0,0.02,0.0
2026-10-01,1,phase_1_user_growth,0.911037,1.0,0.993317,0,0.0,0.0,0.02,0.0
2026-11-01,1,phase_1_user_growth,1.033847,1.0,0.994576,0,0.0,0.0,0.02,0.0
2026-12-01,1,phase_1_user_growth,1.939565,1.0,1.002897,0,0.0,0.0,0.02,0.0
2027-01-01,1,phase_1_user_growth,0.805962,1.0,1.005807,0,0.0,0.0,0.02,0.0
2027-02-01,1,phase_1_user_growth,0.9952,1.0,1.029089,0,0.0,0.0,0.02,0.0
2027-03-01,2,phase_2_marketplace_activation,0.852079,1.0,1.015092,10,42400.1,4240.01,0.02,848.0
2027-04-01,2,phase_2_marketplace_activation,0.843513,1.002466,0.967739,27,112215.26,4156.12,0.02,2244.31
2027-05-01,2,phase_2_marketplace_activation,1.01307,1.004939,1.027984,45,198827.84,4418.4,0.02,3976.56
2027-06-01,2,phase_2_marketplace_activation,0.906254,1.007417,0.998971,62,264239.21,4261.92,0.02,5284.78
2027-07-01,2,phase_2_marketplace_activation,0.891844,1.009902,0.984928,79,328472.47,4157.88,0.02,6569.45
2027-08-01,2,phase_2_marketplace_activation,0.921643,1.012392,1.002282,95,410566.69,4321.75,0.02,8211.33
2027-09-01,2,phase_2_marketplace_activation,0.885988,1.014889,1.013184,114,484833.95,4252.93,0.02,9696.68
2027-10-01,2,phase_2_marketplace_activation,0.911037,1.017392,1.011908,131,564056.22,4305.77,0.02,11281.12
2027-11-01,2,phase_2_marketplace_activation,1.033847,1.019901,0.99586,153,652929.69,4267.51,0.02,13058.59
2027-12-01,2,phase_2_marketplace_activation,1.939565,1.022417,0.98456,196,917668.63,4681.98,0.02,18353.37
2028-01-01,2,phase_2_marketplace_activation,0.805962,1.024938,0.937537,169,709905.84,4200.63,0.02,14198.12
2028-02-01,2,phase_2_marketplace_activation,0.9952,1.027466,0.996733,198,873358.89,4410.9,0.02,17467.18
2028-03-01,3,phase_3_projection,0.852079,1.03,0.991668,216,903966.79,4185.03,0.02,18079.34
2028-04-01,3,phase_3_projection,0.843513,1.03254,0.999111,234,982962.02,4200.69,0.02,19659.24
2028-05-01,3,phase_3_projection,1.01307,1.035087,0.993141,254,1102918.55,4342.2,0.02,22058.37
2028-06-01,3,phase_3_projection,0.906254,1.03764,1.016647,267,1168529.25,4376.51,0.02,23370.59
2028-07-01,3,phase_3_projection,0.891844,1.040199,1.018969,287,1244890.84,4337.6,0.02,24897.82
2028-08-01,3,phase_3_projection,0.921643,1.042764,1.021481,306,1336067.47,4366.23,0.02,26721.35
2028-09-01,3,phase_3_projection,0.885988,1.045336,0.975064,313,1333874.18,4261.58,0.02,26677.48
2028-10-01,3,phase_3_projection,0.911037,1.047914,0.999257,332,1450846.94,4370.02,0.02,29016.94
2028-11-01,3,phase_3_projection,1.033847,1.050498,1.035669,358,1638843.03,4577.77,0.02,32776.86
2028-12-01,3,phase_3_projection,1.939565,1.053089,0.964699,400,1906597.58,4766.49,0.02,38131.95
2029-01-01,3,phase_3_projection,0.805962,1.055686,1.040634,386,1697261.75,4397.05,0.02,33945.23
2029-02-01,3,phase_3_projection,0.9952,1.05829,1.024889,400,1781652.02,4454.13,0.02,35633.04
